codigo,descricao,grau_risco
0111-3/01,Cultivo de arroz,3
0111-3/02,Cultivo de milho,3
0111-3/03,Cultivo de trigo,3
0111-3/99,Cultivo de outros cereais não especificados anteriormente,3
0112-1/01,Cultivo de algodão herbáceo,3
0112-1/02,Cultivo de juta,3
0112-1/99,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,3
0113-0/00,Cultivo de cana-de-açúcar,3
0114-8/00,Cultivo de fumo,3
0115-6/00,Cultivo de soja,3
0116-4/01,Cultivo de amendoim,3
0116-4/02,Cultivo de girassol,3
0116-4/03,Cultivo de mamona,3
0116-4/99,Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente,3
0119-9/01,Cultivo de abacaxi,3
0119-9/02,Cultivo de alho,3
0119-9/03,Cultivo de batata-inglesa,3
0119-9/04,Cultivo de cebola,3
0119-9/05,Cultivo de feijão,3
0119-9/06,Cultivo de mandioca,3
0119-9/07,Cultivo de melão,3
0119-9/08,Cultivo de melancia,3
0119-9/09,Cultivo de tomate rasteiro,3
0119-9/99,Cultivo de outras plantas de lavoura temporária não especificadas anteriormente,3
0121-1/01,"Horticultura, exceto morango",3
0121-1/02,Cultivo de morango,3
0122-9/00,Cultivo de flores e plantas ornamentais,3
0131-8/00,Cultivo de laranja,3
0132-6/00,Cultivo de uva,3
0133-4/01,Cultivo de açaí,3
0133-4/02,Cultivo de banana,3
0133-4/03,Cultivo de caju,3
0133-4/04,"Cultivo de cítricos, exceto laranja",3
0133-4/05,Cultivo de coco-da-baía,3
0133-4/06,Cultivo de guaraná,3
0133-4/07,Cultivo de maçã,3
0133-4/08,Cultivo de mamão,3
0133-4/09,Cultivo de maracujá,3
0133-4/10,Cultivo de manga,3
0133-4/11,Cultivo de pêssego,3
0133-4/99,Cultivo de frutas de lavoura permanente não especificadas anteriormente,3
0134-2/00,Cultivo de café,3
0135-1/00,Cultivo de cacau,3
0139-3/01,Cultivo de chá-da-índia,3
0139-3/02,Cultivo de erva-mate,3
0139-3/03,Cultivo de pimenta-do-reino,3
0139-3/04,"Cultivo de plantas para condimento, exceto pimenta-do-reino",3
0139-3/05,Cultivo de dendê,3
0139-3/06,Cultivo de seringueira,3
0139-3/99,Cultivo de outras plantas de lavoura permanente não especificadas anteriormente,3
0141-5/01,"Produção de sementes certificadas, exceto de forrageiras para pasto",3
0141-5/02,Produção de sementes certificadas de forrageiras para formação de pasto,3
0142-3/00,"Produção de mudas e outras formas de propagação vegetal, certificadas",3
0151-2/01,Criação de bovinos para corte,3
0151-2/02,Criação de bovinos para leite,3
0151-2/03,"Criação de bovinos, exceto para corte e leite",3
0152-1/01,Criação de bufalinos,3
0152-1/02,Criação de equinos,3
0152-1/03,Criação de asininos e muares,3
0153-9/01,Criação de caprinos,3
0153-9/02,"Criação de ovinos, inclusive para produção de lã",3
0154-7/00,Criação de suínos,3
0155-5/01,Criação de frangos para corte,3
0155-5/02,Produção de pintos de um dia,3
0155-5/03,"Criação de outros galináceos, exceto para corte",3
0155-5/04,"Criação de aves, exceto galináceos",3
0155-5/05,Produção de ovos,3
0159-8/01,Apicultura,3
0159-8/02,Criação de animais de estimação,3
0159-8/03,Criação de escargô,3
0159-8/04,Criação de bicho-da-seda,3
0159-8/99,Criação de outros animais não especificados anteriormente,3
0161-0/01,Serviço de pulverização e controle de pragas agrícolas,3
0161-0/02,Serviço de poda de árvores para lavouras,3
0161-0/03,"Serviço de preparação de terreno, cultivo e colheita",3
0161-0/99,Atividades de apoio à agricultura não especificadas anteriormente,3
0162-8/01,Serviço de inseminação artificial em animais,3
0162-8/02,Serviço de tosquiamento de ovinos,3
0162-8/03,Serviço de manejo de animais,3
0162-8/99,Atividades de apoio à pecuária não especificadas anteriormente,3
0163-6/00,Atividades de pós-colheita,3
0170-9/00,Caça e serviços relacionados,3
0210-1/01,Cultivo de eucalipto,3
0210-1/02,Cultivo de acácia-negra,3
0210-1/03,Cultivo de pinus,3
0210-1/04,Cultivo de teca,3
0210-1/05,"Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca",3
0210-1/06,Cultivo de mudas em viveiros florestais,3
0210-1/07,Extração de madeira em florestas plantadas,3
0210-1/08,Produção de carvão vegetal - florestas plantadas,3
0210-1/09,Produção de casca de acácia-negra - florestas plantadas,3
0210-1/99,Produção de produtos não madeireiros não especificados anteriormente em florestas plantadas,3
0220-9/01,Extração de madeira em florestas nativas,4
0220-9/02,Produção de carvão vegetal - florestas nativas,4
0220-9/03,Coleta de castanha-do-pará em florestas nativas,4
0220-9/04,Coleta de látex em florestas nativas,4
0220-9/05,Coleta de palmito em florestas nativas,4
0220-9/06,Conservação de florestas nativas,4
0220-9/99,Coleta de produtos não madeireiros não especificados anteriormente em florestas nativas,4
0230-6/00,Atividades de apoio à produção florestal,3
0311-6/01,Pesca de peixes em água salgada,3
0311-6/02,Pesca de crustáceos e moluscos em água salgada,3
0311-6/03,Coleta de outros produtos marinhos,3
0311-6/04,Atividades de apoio à pesca em água salgada,3
0312-4/01,Pesca de peixes em água doce,3
0312-4/02,Pesca de crustáceos e moluscos em água doce,3
0312-4/03,Coleta de outros produtos aquáticos de água doce,3
0312-4/04,Atividades de apoio à pesca em água doce,3
0321-3/01,Criação de peixes em água salgada e salobra,3
0321-3/02,Criação de camarões em água salgada e salobra,3
0321-3/03,Criação de ostras e mexilhões em água salgada e salobra,3
0321-3/04,Criação de peixes ornamentais em água salgada e salobra,3
0321-3/05,Atividades de apoio à aquicultura em água salgada e salobra,3
0321-3/99,Cultivos e semicultivos da aquicultura em água salgada e salobra não especificados anteriormente,3
0322-1/01,Criação de peixes em água doce,3
0322-1/02,Criação de camarões em água doce,3
0322-1/03,Criação de ostras e mexilhões em água doce,3
0322-1/04,Criação de peixes ornamentais em água doce,3
0322-1/05,Ranicultura,3
0322-1/06,Criação de jacaré,3
0322-1/07,Atividades de apoio à aquicultura em água doce,3
0322-1/99,Cultivos e semicultivos da aquicultura em água doce não especificados anteriormente,3
0500-3/01,Extração de carvão mineral,4
0500-3/02,Beneficiamento de carvão mineral,4
0600-0/01,Extração de petróleo e gás natural,4
0600-0/02,Extração e beneficiamento de xisto,4
0600-0/03,Extração e beneficiamento de areias betuminosas,4
0710-3/01,Extração de minério de ferro,4
0710-3/02,"Pelotização, sinterização e outros beneficiamentos de minério de ferro",4
0721-9/01,Extração de minério de alumínio,4
0721-9/02,Beneficiamento de minério de alumínio,4
0722-7/01,Extração de minério de estanho,4
0722-7/02,Beneficiamento de minério de estanho,4
0723-5/01,Extração de minério de manganês,4
0723-5/02,Beneficiamento de minério de manganês,4
0724-3/01,Extração de minério de metais preciosos,4
0724-3/02,Beneficiamento de minério de metais preciosos,4
0725-1/00,Extração de minerais radioativos,4
0729-4/01,Extração de minérios de nióbio e titânio,4
0729-4/02,Extração de minério de tungstênio,4
0729-4/03,Extração de minério de níquel,4
0729-4/04,"Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente",4
0729-4/05,"Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente",4
0810-0/01,Extração de ardósia e beneficiamento associado,4
0810-0/02,Extração de granito e beneficiamento associado,4
0810-0/03,Extração de mármore e beneficiamento associado,4
0810-0/04,Extração de calcário e dolomita e beneficiamento associado,4
0810-0/05,Extração de gesso e caulim,4
0810-0/06,"Extração de areia, cascalho ou pedregulho e beneficiamento associado",4
0810-0/07,Extração de argila e beneficiamento associado,4
0810-0/08,Extração de saibro e beneficiamento associado,4
0810-0/09,Extração de basalto e beneficiamento associado,4
0810-0/10,Beneficiamento de gesso e caulim associado à extração,4
0810-0/99,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,4
0891-6/00,"Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos",4
0892-4/01,Extração de sal marinho,4
0892-4/02,Extração de sal-gema,4
0892-4/03,Refino e outros tratamentos do sal,4
0893-2/00,Extração de gemas (pedras preciosas e semipreciosas),4
0899-1/01,Extração de grafita,4
0899-1/02,Extração de quartzo,4
0899-1/03,Extração de amianto,4
0899-1/99,Extração de outros minerais não metálicos não especificados anteriormente,4
0910-6/00,Atividades de apoio à extração de petróleo e gás natural,4
0990-4/01,Atividades de apoio à extração de minério de ferro,4
0990-4/02,Atividades de apoio à extração de minerais metálicos não ferrosos,4
0990-4/03,Atividades de apoio à extração de minerais não metálicos,4
1011-2/01,Frigorífico - abate de bovinos,3
1011-2/02,Frigorífico - abate de equinos,3
1011-2/03,Frigorífico - abate de ovinos e caprinos,3
1011-2/04,Frigorífico - abate de bufalinos,3
1011-2/05,"Matadouro - abate de reses sob contrato, exceto abate de suínos",3
1012-1/01,Abate de aves,3
1012-1/02,Abate de pequenos animais,3
1012-1/03,Frigorífico - abate de suínos,3
1012-1/04,Matadouro - abate de suínos sob contrato,3
1013-9/01,Fabricação de produtos de carne,3
1013-9/02,Preparação de subprodutos do abate,3
1020-1/01,"Preservação de peixes, crustáceos e moluscos",3
1020-1/02,"Fabricação de conservas de peixes, crustáceos e moluscos",3
1031-7/00,Fabricação de conservas de frutas,3
1032-5/01,Fabricação de conservas de palmito,3
1032-5/99,"Fabricação de conservas de legumes e outros vegetais, exceto palmito",3
1033-3/01,"Fabricação de sucos concentrados de frutas, hortaliças e legumes",3
1033-3/02,"Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados",3
1041-4/00,"Fabricação de óleos vegetais em bruto, exceto óleo de milho",3
1042-2/00,"Fabricação de óleos vegetais refinados, exceto óleo de milho",3
1043-1/00,Fabricação de margarina e outras gorduras vegetais e de óleos não comestíveis de animais,3
1051-1/00,Preparação do leite,3
1052-0/00,Fabricação de laticínios,3
1053-8/00,Fabricação de sorvetes e outros gelados comestíveis,3
1061-9/01,Beneficiamento de arroz,3
1061-9/02,Fabricação de produtos do arroz,3
1062-7/00,Moagem de trigo e fabricação de derivados,3
1063-5/00,Fabricação de farinha de mandioca e derivados,3
1064-3/00,"Fabricação de farinha de milho e derivados, exceto óleos de milho",3
1065-1/01,Fabricação de amidos e féculas de vegetais,3
1065-1/02,Fabricação de óleo de milho em bruto,3
1065-1/03,Fabricação de óleo de milho refinado,3
1066-0/00,Fabricação de alimentos para animais,3
1069-4/00,Moagem e fabricação de produtos de origem vegetal não especificados anteriormente,3
1071-6/00,Fabricação de açúcar em bruto,3
1072-4/01,Fabricação de açúcar de cana refinado,3
1072-4/02,Fabricação de açúcar de cereais (dextrose) e de beterraba,3
1081-3/01,Beneficiamento de café,3
1081-3/02,Torrefação e moagem de café,3
1082-1/00,Fabricação de produtos à base de café,3
1091-1/01,Fabricação de produtos de panificação industrial,3
1091-1/02,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,3
1092-9/00,Fabricação de biscoitos e bolachas,3
1093-7/01,Fabricação de produtos derivados do cacau e de chocolates,3
1093-7/02,"Fabricação de frutas cristalizadas, balas e semelhantes",3
1094-5/00,Fabricação de massas alimentícias,3
1095-3/00,"Fabricação de especiarias, molhos, temperos e condimentos",3
1096-1/00,Fabricação de alimentos e pratos prontos,3
1099-6/01,Fabricação de vinagres,3
1099-6/02,Fabricação de pós-alimentícios,3
1099-6/03,Fabricação de fermentos e leveduras,3
1099-6/04,Fabricação de gelo comum,3
1099-6/05,"Fabricação de produtos para infusão (chá, mate, etc.)",3
1099-6/06,Fabricação de adoçantes naturais e artificiais,3
1099-6/07,Fabricação de alimentos dietéticos e complementos alimentares,3
1099-6/99,Fabricação de outros produtos alimentícios não especificados anteriormente,3
1111-9/01,Fabricação de aguardente de cana-de-açúcar,3
1111-9/02,Fabricação de outras aguardentes e bebidas destiladas,3
1112-7/00,Fabricação de vinho,3
1113-5/01,"Fabricação de malte, inclusive malte uísque",3
1113-5/02,Fabricação de cervejas e chopes,3
1121-6/00,Fabricação de águas envasadas,3
1122-4/01,Fabricação de refrigerantes,3
1122-4/02,Fabricação de chá mate e outros chás prontos para consumo,3
1122-4/03,"Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas",3
1122-4/04,Fabricação de bebidas isotônicas,3
1122-4/99,Fabricação de outras bebidas não alcoólicas não especificadas anteriormente,3
1210-7/00,Processamento industrial do fumo,3
1220-4/01,Fabricação de cigarros,3
1220-4/02,Fabricação de cigarrilhas e charutos,3
1220-4/03,Fabricação de filtros para cigarros,3
1220-4/99,"Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos",3
1311-1/00,Preparação e fiação de fibras de algodão,3
1312-0/00,"Preparação e fiação de fibras têxteis naturais, exceto algodão",3
1313-8/00,Fiação de fibras artificiais e sintéticas,3
1314-6/00,Fabricação de linhas para costurar e bordar,3
1321-9/00,Tecelagem de fios de algodão,3
1322-7/00,"Tecelagem de fios de fibras têxteis naturais, exceto algodão",3
1323-5/00,Tecelagem de fios de fibras artificiais e sintéticas,3
1330-8/00,Fabricação de tecidos de malha,3
1340-5/01,"Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário",3
1340-5/02,"Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário",3
1340-5/99,"Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário",3
1351-1/00,Fabricação de artefatos têxteis para uso doméstico,3
1352-9/00,Fabricação de artefatos de tapeçaria,3
1353-7/00,Fabricação de artefatos de cordoaria,3
1354-5/00,"Fabricação de tecidos especiais, inclusive artefatos",3
1359-6/00,Fabricação de outros produtos têxteis não especificados anteriormente,3
1411-8/01,Confecção de roupas íntimas,2
1411-8/02,Facção de roupas íntimas,2
1412-6/01,"Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida",2
1412-6/02,"Confecção, sob medida, de peças do vestuário, exceto roupas íntimas",2
1412-6/03,"Facção de peças do vestuário, exceto roupas íntimas",2
1413-4/01,"Confecção de roupas profissionais, exceto sob medida",2
1413-4/02,"Confecção, sob medida, de roupas profissionais",2
1413-4/03,Facção de roupas profissionais,2
1414-2/00,"Fabricação de acessórios do vestuário, exceto para segurança e proteção",2
1421-5/00,Fabricação de meias,2
1422-3/00,"Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias",2
1510-6/00,Curtimento e outras preparações de couro,3
1521-1/00,"Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material",2
1529-7/00,Fabricação de artefatos de couro não especificados anteriormente,2
1531-9/01,Fabricação de calçados de couro,3
1531-9/02,Acabamento de calçados de couro sob contrato,3
1532-7/00,Fabricação de tênis de qualquer material,3
1533-5/00,Fabricação de calçados de material sintético,3
1539-4/00,"Fabricação de calçados de materiais não especificados
anteriormente",3
1540-8/00,"Fabricação de partes para calçados, de qualquer material",3
1610-2/03,Serrarias com desdobramento de madeira em bruto,3
1610-2/04,Serrarias sem desdobramento de madeira em bruto - Resseragem,3
1610-2/05,Serviço de tratamento de madeira realizado sob contrato,3
1621-8/00,"Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada",3
1622-6/01,Fabricação de casas de madeira pré-fabricadas,3
1622-6/02,Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais,3
1622-6/99,Fabricação de outros artigos de carpintaria para construção,3
1623-4/00,Fabricação de artefatos de tanoaria e de embalagens de madeira,3
1629-3/01,"Fabricação de artefatos diversos de madeira, exceto móveis",3
1629-3/02,"Fabricação de artefatos diversos de cortiça, bambu, palha, vime e outros materiais trançados, exceto móveis",3
1710-9/00,Fabricação de celulose e outras pastas para a fabricação de papel,3
1721-4/00,Fabricação de papel,3
1722-2/00,Fabricação de cartolina e papel-cartão,3
1731-1/00,Fabricação de embalagens de papel,2
1732-0/00,Fabricação de embalagens de cartolina e papel-cartão,2
1733-8/00,Fabricação de chapas e de embalagens de papelão ondulado,2
1741-9/01,Fabricação de formulários contínuos,2
1741-9/02,"Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório",2
1742-7/01,Fabricação de fraldas descartáveis,2
1742-7/02,Fabricação de absorventes higiênicos,2
1742-7/99,Fabricação de produtos de papel para uso doméstico e higiênico-sanitário não especificados anteriormente,2
1749-4/00,"Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente",2
1811-3/01,Impressão de jornais,3
1811-3/02,"Impressão de livros, revistas e outras publicações periódicas",3
1812-1/00,Impressão de material de segurança,3
1813-0/01,Impressão de material para uso publicitário,3
1813-0/99,Impressão de material para outros usos,3
1821-1/00,Serviços de pré-impressão,3
1822-9/01,Serviços de encadernação e plastificação,3
1822-9/99,"Serviços de acabamentos gráficos, exceto encadernação e plastificação",3
1830-0/01,Reprodução de som em qualquer suporte,3
1830-0/02,Reprodução de vídeo em qualquer suporte,3
1830-0/03,Reprodução de software em qualquer suporte,3
1910-1/00,Coquerias,3
1921-7/00,Fabricação de produtos do refino de petróleo,3
1922-5/01,Formulação de combustíveis,3
1922-5/02,Rerrefino de óleos lubrificantes,3
1922-5/99,"Fabricação de outros produtos derivados do petróleo, exceto produtos do refino",3
1931-4/00,Fabricação de álcool,3
1932-2/00,"Fabricação de biocombustíveis, exceto álcool",3
2011-8/00,Fabricação de cloro e álcalis,3
2012-6/00,Fabricação de intermediários para fertilizantes,3
2013-4/01,Fabricação de adubos e fertilizantes organo-minerais,3
2013-4/02,"Fabricação de adubos e fertilizantes, exceto organo-minerais",3
2014-2/00,Fabricação de gases industriais,3
2019-3/01,Elaboração de combustíveis nucleares,3
2019-3/99,Fabricação de outros produtos químicos inorgânicos não especificados anteriormente,3
2021-5/00,Fabricação de produtos petroquímicos básicos,3
2022-3/00,"Fabricação de intermediários para plastificantes, resinas e fibras",3
2029-1/00,Fabricação de produtos químicos orgânicos não especificados anteriormente,3
2031-2/00,Fabricação de resinas termoplásticas,3
2032-1/00,Fabricação de resinas termofixas,3
2033-9/00,Fabricação de elastômeros,3
2040-1/00,Fabricação de fibras artificiais e sintéticas,3
2051-7/00,Fabricação de defensivos agrícolas,3
2052-5/00,Fabricação de desinfestantes domissanitários,3
2061-4/00,Fabricação de sabões e detergentes sintéticos,3
2062-2/00,Fabricação de produtos de limpeza e polimento,3
2063-1/00,"Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal",2
2071-1/00,"Fabricação de tintas, vernizes, esmaltes e lacas",3
2072-0/00,Fabricação de tintas de impressão,3
2073-8/00,"Fabricação de impermeabilizantes, solventes e produtos afins",3
2091-6/00,Fabricação de adesivos e selantes,3
2092-4/01,"Fabricação de pólvoras, explosivos e detonantes",4
2092-4/02,Fabricação de artigos pirotécnicos,4
2092-4/03,Fabricação de fósforos de segurança,4
2093-2/00,Fabricação de aditivos de uso industrial,3
2094-1/00,Fabricação de catalisadores,3
2099-1/01,"Fabricação de chapas, filmes, papéis e outros materiais e produtos químicos para fotografia",3
2099-1/99,Fabricação de outros produtos químicos não especificados anteriormente,3
2110-6/00,Fabricação de produtos farmoquímicos,3
2121-1/01,Fabricação de medicamentos alopáticos para uso humano,3
2121-1/02,Fabricação de medicamentos homeopáticos para uso humano,3
2121-1/03,Fabricação de medicamentos fitoterápicos para uso humano,3
2122-0/00,Fabricação de medicamentos para uso veterinário,3
2123-8/00,Fabricação de preparações farmacêuticas,3
2211-1/00,Fabricação de pneumáticos e de câmaras-de-ar,3
2212-9/00,Reforma de pneumáticos usados,3
2219-6/00,"Fabricação de artefatos de borracha não especificados 
anteriormente",3
2221-8/00,Fabricação de laminados planos e tubulares de material plástico,3
2222-6/00,Fabricação de embalagens de material plástico,3
2223-4/00,Fabricação de tubos e acessórios de material plástico para uso na construção,3
2229-3/01,Fabricação de artefatos de material plástico para uso pessoal e doméstico,3
2229-3/02,Fabricação de artefatos de material plástico para usos industriais,3
2229-3/03,"Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios",3
2229-3/99,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,3
2311-7/00,Fabricação de vidro plano e de segurança,3
2312-5/00,Fabricação de embalagens de vidro,3
2319-2/00,Fabricação de artigos de vidro,3
2320-6/00,Fabricação de cimento,4
2330-3/01,"Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda",4
2330-3/02,Fabricação de artefatos de cimento para uso na construção,4
2330-3/03,Fabricação de artefatos de fibrocimento para uso na construção,4
2330-3/04,Fabricação de casas pré-moldadas de concreto,4
2330-3/05,Preparação de massa de concreto e argamassa para construção,4
2330-3/99,"Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",4
2341-9/00,Fabricação de produtos cerâmicos refratários,4
2342-7/01,Fabricação de azulejos e pisos,3
2342-7/02,"Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos",3
2349-4/01,Fabricação de material sanitário de cerâmica,4
2349-4/99,Fabricação de produtos cerâmicos não refratários não especificados anteriormente,4
2391-5/01,"Britamento de pedras, exceto associado à extração",3
